CWE,Attack Vector (AV),Attack Complexity (AC),Privileges Required (PR),User Interaction (UI),Scope (S),Confidentiality (C),Integrity (I),Availability (A),CVSS 점수,시나리오
CWE-113 (Improper Neutralization of CRLF Sequence in HTTP Headers),Network,Low,None,Required,Changed,Low,Low,None,6.1,"한 웹사이트에서 url 파라미터 값을 검사하지 않고 그대로 사용하게 되면 공격자가 개행 문자를 삽입해 HTTP 응답 헤더를 조작하고, 악의적인 페이지를 노출시킬 수 있게 된다.  "
CWE-117 (Improper Output Neutralization for logs),Network,Low,None,None,Unchanged,None,Low,None,5.3,"공격자가 사용자 이름 필드에 개행문자를 삽입하면, 서버가 이 입력값을 필터링 없이 삽입해 실제로는 실패한 가짜 로그가 삽입된다. 이로 인해 공격자의 침입 시도를 놓칠 수 있게 된다. "
CWE-200 (Exposure of Sensitive Information to an Unauthorized Actor),Network,Low,None,None,Unchanged,High,None,None,7.5,민감한 정보에 대한 적절한 권한 설정이 되어 있지 않아 모든 사용자가 민감한 정보를 확인할 수 있어 이를 악용할 가능성이 생긴다. 
CWE-209 (Generation for Error Message Containing Sensitive Information),Network,Low,None,None,Unchanged,Low,None,None,5.3,"사용자 ID 입력란에 잘못된 입력값을 넣었을 때, 상세한 DB 오류 메시지를 출력하여 공격자가 내부 시스템을 손쉽게 유추하여 공격할 수 있게 된다. "
CWE-22 (Path Traversal),Network,Low,None,None,Unchanged,High,None,None,7.5,공격자는 파일 이름에 ../../../etc/passwd와 같은 상위 디렉토리 이동 문자를 포함시켜 서버의 민감한 시스템 파일을 읽는다. 
CWE-276 (Incorrect Default Permissions),Local,Low,Low,None,Unchanged,High,High,High,8.8,모든 사용자에게 높은 권한을 부여하게 되면 낮은 권한을 가져야 하는 사용자 또한 DB 접속 비밀번호를 알아내거나 설정을 변경할 수 있게 되어 악의적인 공격을 할 수 있게 된다. 
CWE-295 (Improper Validation of a Server's Certificate),Network,High,None,None,Unchanged,High,High,None,7.4,"개발자가 SSL/TLS 인증서 검증을 비활성화한 채로 코드를 배포하면, 공격자는 중간자 공격(동일 네트워크에 있거나 트래픽을 가로챌 수 있는 위치 확보 필요)을 통해 클라이언트와 서버 사이의 통신을 가로채고, 위조된 인증서를 제시해 통신 내용을 엿보거나 조작한다. "
CWE-312 (Cleartext Storage of Sensitive information),Network,Low,Low,None,Unchanged,High,None,None,6.5,민감한 정보를 암호화 없이 평문으로 데이터베이스에 저장해두어서 추후에 공격자가 이를 탈취해 악용할 수 있다. 
CWE-319 (Cleartext Transmission of Sensitive information),Adjacent,Low,None,Required,Unchanged,High,None,None,6.5,사용자가 웹사이트의 로그인 페이지에서 아이디와 비밀번호를 입력했다. 같은 공용 와이파이를 사용하던 공격자가 네트워크 패킷을 스니핑하여 암호화되지 않은 사용자 로그인 정보를 가로채 그 정보를 그대로 확인할 수 있다. 
CWE-326 (Inadequate Encryption Strength),Network,Low,None,None,Unchanged,High,None,None,7.5,중요한 데이터를 저장하는 데 오래된 암호화 기법을 사용하여 공격자가 암호화된 데이터를 탈취한 후 쉽게 원래 정보를 알아낼 수 있게 된다.  
CWE-327 (Use of a Risky Cryptographic Algorithm),Network,Low,None,None,Unchanged,High,None,None,7.5,"민감한 정보를 저장하거나 전송할 때, 보안이 깨진 것으로 알려진 오래된 암호화 알고리즘을 사용한다. "
CWE-347 (Improper Verification of Crpytographic Signature),Network,Low,None,None,Unchanged,High,High,None,9.1,"JWT 토큰을 사용해 인증을 할 때, 공격자는 토큰의 페이로드에 alg 값을 none으로 변경해 서명을 제거하고 서버에 전송하면 서버는 서명 검증 절차를 건너뛰고 공격자에게 관리자 권한을 부여하게 된다. "
CWE-362 (Race Condition),Local,High,Low,None,Changed,High,High,High,7.8,"정상적인 이미지 파일을 업로드하는 프로세스를 실행함과 동시에 악성 웹쉘 파일의 이름을 임시 디렉토리에서 정상적인 이미지 파일 이름으로 바꾸는 프로세스를 실행한다. 경쟁 조건으로 서버는 보안 검사를 통과시키고, 그 직후 이름이 바뀐 악성 웹쉘 파일을 웹 디렉토리로 올리게 되어 공격자가 의도한 공격을 실행할 수 있게 된다. "
CWE-377 (Insecure Temporary File),Local,Low,Low,None,Unchanged,High,High,High,8.8,임시 파일이 저장되는 위치에 공격자가 미리 같은 이름의 심볼릭 링크를 생성해 중요한 파일을 가리키도록 하여 그 파일을 탈취한다. 
CWE-400 (Uncontrolled Resource Consumption),Network,Low,None,None,Unchanged,None,None,High,7.5,"사용자가 파일의 크기를 확인하지 않고 공격자가 보낸 엄청난 크기의 압축 파일을 해제하게 되면, 서버는 압축을 해제하다 메모리를 모두 소진하여 정상적인 서비스를 제공할 수 없게 된다.  "
CWE-477 (Use of Obsolete Function),Network,Low,None,None,Changed,High,High,None,10,"개발자가 현재는 사용하지 않는 오래된 함수를 사용하게 되면, 공격자가 이를 활용해 손쉽게 공격을 성공시킬 수 있게 된다. "
CWE-489 (Active Code Containing Debug Code),Network,Low,None,None,Unchanged,High,High,High,9.8,"개발자가 로그인 없이 관리자 기능을 테스트하기 위해 특정 조건에서 인증을 우회하는 코드를 추가했는데, 이를 삭제하는 것을 잊고 코드를 배포하면 공격자가 시스템을 장악할 수 있게 된다. "
CWE-502 (Deserialization of Untrusted Data),Network,Low,None,None,Changed,High,High,High,10,로그인 없이 접근 가능한 서버에서 특정 코드를 실행하도록 조작된 특수한 데이터를 전송한다. 서버는 이 데이터를 역직렬화하는 과정에서  공격자가 의도한 코드를 실행해 서버의 제어권을 탈취당한다. 
CWE-601(Open Redirect),Network,Low,None,Required,Changed,Low,Low,None,6.1,공격자는 정상적인 도메인처럼 보이는 악성 사이트로 이동시키는 URL을 만들어 사용자가 이를 클릭해 해당 사이트로 이동하게 만든다. 
CWE-611 (XXE),Network,Low,None,None,Unchanged,High,None,None,7.5,악의적인 XML 파일을 업로드하여 이를 이용해 시스템에 있는 주요 문서를 탈취한다. 
CWE-78 (OS Command Injection),Network,Low,None,None,Changed,High,High,High,10,로그인 없이 접근 가능한 기능에서 사용자 입력을 받아 시스템 명령어를 실행한다. 공격자는 특별한 조건 없이 악의적인 입력을 보내 서버의 운영체제 제어권을 탈취할 수 있다. 
CWE-79 (XSS),Network,Low,None,None,Changed,Low,Low,None,7.2,공격자가 악성 스크립트가 포함된 게시글을 웹사이트 게시판에 작성해 서버에 저장시킨다. 해당 게시글을 확인하면 악성 스크립트가 실행된다. 
CWE-89 (SQL Injection),Network,Low,Low,None ,Unchanged,High,High,High,9.8,"일반 사용자로 로그인 한 후, 공격자가 악의적인 SQL 구문을 입력해 다른 사용자의 정보를 보거나 권한을 상승시킨다. "
CWE-90 (LDAP Injection),Network,Low,None,None,Unchanged,High,High,High,9.8,특수문자를 활용해 조작된 쿼리를 넣어 인증을 우회한다. 
CWE-918 (SSRF),Network,Low,None,None,Changed,High,Low,None,9.3,"외부 URL을 입력받아 해당 콘텐츠를 보여주는 기능에 공격자가 의도한 URL을 삽입하여 서버가 해당 주소를 유효하다고 생가각하게 만들어 해당 주소로 요청을 보내고, 그 응답 결과를 공격자에게 반환한다.  "
CWE-369 (Divide By Zero),Network,Low,None,None,Unchanged,None,None,High,7.5,"공격자가 서버 API에서 값을 0으로 조작했을 때, 서버 내부에서 0으로 나눴을 때의 예외처리가 되어 있지 않아 서버 프로세스를 사용할 수 없게 된다."
CWE-798(Used of Hard-coded Credentials),Network,Low,None,None,Unchanged,High,High,High,9.8,하드코딩 되어 있는 관리자 키를 추출하여 공격자가 DB 관리 명령어를 실행하여 시스템을 마비시킨다.
CWE-829(Inclusion of Functionality from Untrusted Control Sphere),Network,Low,None,Required,Changed,High,High,High,8.3,"공격자가 서버를 해킹해 악성 코드를 삽입하고, 사용자가 웹사이트에 접속할 때 해당 코드가 브라우저에서 실행되어 세션이 탈취된다."
CWE-937(Using Components with Known Vulnerabilities),Network,Low,Low,None,Unchanged,Low,None,None,4.3,서버에 로그인을 한 사용자가 구버전 라이브러리를 활용해 접근 권한이 없는 이미지나 메타데이터를 조회한다. 
CWE-755 & 703(Improper Handling of Exceptional Conditions),Network,High,None,None,Unchanged,Low,None,None,3.7,"예외가 발생했을 때, 이 예외를 처리하는 코드 로직이 존재하지 않아 호출한 상위 프로세스와 충돌하거나 디버깅 정보를 외부로 반환하게 된다. "
CWE-494 (Download of Code Without Integrity Check),Network,Low,None,None,Unchanged,High,High,High,9.8,공격자가 다운로드 경로를 알아내어 악성 코드를 전송하면 검증 절차가 없어 서버 시스템이 장악된다. 
CWE-330 (Use of Insufficiently Random Values),Network,Low,None,None,Unchanged,High,High,High,9.8,"패스워드를 생성할 때 random 모듈을 활용하면, 패스워드가 예측 가능해지므로 공격자가 자유롭게 사용자의 정보를 수집하고 최악의 경우 시스템을 장악할 수 있게 된다. "
CWE-20 (Improper Input Validation),Network,Low,None,None,Unchanged,Low,High,None,8.2,"입력값 검증이 제대로 이루어지지 않아 공격자가 악성 스크립트를 삽입하게 되고, 이로 인해 페이지 내용이 변조되고 사용자의 쿠키가 탈취된다."
CWE-248 (Uncaught Exception),Network,Low,None,None,Unchanged,None,None,High,7.5,특수 문자에 대한 예외 처리가 이루어지지 않아 공격자가 특수 문자를 입력하면 서버가 강제적으로 종료되어 서비스를 이용할 수 없게 된다. 
CWE-476 (NULL Pointer Dereference),Network,Low,Low,None,Unchanged,None,None,High,6.5,공격자가 빈 값을 넣어 NULL 포인터에 접근한 다음 서비스 가용성을 침해한다.
CWE-523 (Unprotected Transport of Credentials),Network,High,None,None,Unchanged,Low,None,None,3.7,공용 네트워크 환경에서 암호화되지 않은 통신을 공격자가 가로채 쿠키나 세션 ID를 알게 된다.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
